sale_id,id,product_id,quantity,unit_price,line_total
1,1,75,3,116.31,348.93
1,2,4,5,678.32,3391.60
2,1,10,2,422.42,844.84
2,2,76,1,879.33,879.33
2,3,89,3,440.91,1322.73
2,4,81,5,767.01,3835.05
3,1,45,5,398.65,1993.25
4,1,83,4,169.30,677.20
4,2,44,2,216.56,433.12
4,3,2,4,742.84,2971.36
4,4,54,2,157.08,314.16
4,5,63,5,115.99,579.95
4,6,14,3,281.48,844.44
4,7,56,5,598.43,2992.15
4,8,47,5,250.39,1251.95
4,9,82,4,661.45,2645.80
5,1,42,2,913.57,1827.14
5,2,32,4,703.31,2813.24
5,3,12,5,760.01,3800.05
5,4,36,5,273.60,1368.00
5,5,58,4,531.47,2125.88
6,1,24,3,579.47,1738.41
6,2,63,5,115.99,579.95
6,3,28,3,383.23,1149.69
6,4,46,5,147.16,735.80
6,5,34,1,536.47,536.47
6,6,44,5,216.56,1082.80
7,1,63,4,115.99,463.96
7,2,72,4,541.68,2166.72
7,3,98,1,670.63,670.63
7,4,31,1,213.46,213.46
7,5,89,3,440.91,1322.73
7,6,61,2,683.30,1366.60
7,7,83,4,169.30,677.20
8,1,48,4,541.28,2165.12
8,2,61,3,683.30,2049.90
8,3,71,3,377.04,1131.12
8,4,68,3,871.17,2613.51
8,5,45,2,398.65,797.30
8,6,55,1,793.12,793.12
8,7,96,2,860.34,1720.68
8,8,43,3,876.99,2630.97
8,9,46,1,147.16,147.16
8,10,90,5,454.23,2271.15
9,1,95,5,232.80,1164.00
9,2,62,5,752.12,3760.60
9,3,36,5,273.60,1368.00
9,4,93,3,233.96,701.88
10,1,47,5,250.39,1251.95
10,2,23,2,886.02,1772.04
10,3,39,3,232.90,698.70
10,4,2,1,742.84,742.84
11,1,82,1,661.45,661.45
11,2,97,1,516.59,516.59
11,3,63,5,115.99,579.95
12,1,44,4,216.56,866.24
12,2,24,1,579.47,579.47
12,3,7,5,222.54,1112.70
12,4,33,1,611.09,611.09
12,5,62,2,752.12,1504.24
12,6,15,2,957.43,1914.86
12,7,9,5,202.84,1014.20
12,8,52,3,511.98,1535.94
13,1,98,4,670.63,2682.52
13,2,54,4,157.08,628.32
13,3,78,3,878.62,2635.86
13,4,77,5,243.26,1216.30
13,5,80,4,816.94,3267.76
13,6,29,3,637.51,1912.53
13,7,100,5,578.33,2891.65
13,8,67,5,510.14,2550.70
13,9,49,1,431.29,431.29
14,1,34,2,536.47,1072.94
14,2,85,2,964.54,1929.08
14,3,11,5,591.32,2956.60
14,4,21,1,83.41,83.41
15,1,89,3,440.91,1322.73
15,2,77,4,243.26,973.04
15,3,61,1,683.30,683.30
15,4,38,2,843.64,1687.28
15,5,5,3,91.50,274.50
15,6,30,5,166.84,834.20
15,7,37,2,223.52,447.04
15,8,91,4,228.57,914.28
16,1,35,1,167.59,167.59
16,2,19,2,731.08,1462.16
16,3,10,3,422.42,1267.26
17,1,16,5,106.70,533.50
17,2,60,4,681.88,2727.52
17,3,89,4,440.91,1763.64
17,4,39,1,232.90,232.90
17,5,90,5,454.23,2271.15
17,6,52,1,511.98,511.98
17,7,35,4,167.59,670.36
17,8,65,3,954.05,2862.15
18,1,30,5,166.84,834.20
18,2,87,5,714.38,3571.90
19,1,98,2,670.63,1341.26
20,1,24,1,579.47,579.47
20,2,75,4,116.31,465.24
20,3,56,3,598.43,1795.29
20,4,82,4,661.45,2645.80
20,5,63,3,115.99,347.97
21,1,53,5,757.00,3785.00
21,2,89,1,440.91,440.91
21,3,64,4,162.37,649.48
21,4,37,1,223.52,223.52
21,5,85,3,964.54,2893.62
21,6,52,3,511.98,1535.94
22,1,1,5,641.23,3206.15
22,2,85,4,964.54,3858.16
22,3,70,4,610.93,2443.72
22,4,60,1,681.88,681.88
22,5,53,2,757.00,1514.00
22,6,7,3,222.54,667.62
22,7,25,5,50.60,253.00
22,8,67,2,510.14,1020.28
22,9,47,3,250.39,751.17
23,1,81,5,767.01,3835.05
24,1,71,1,377.04,377.04
24,2,2,4,742.84,2971.36
24,3,53,1,757.00,757.00
24,4,12,2,760.01,1520.02
24,5,29,4,637.51,2550.04
25,1,54,5,157.08,785.40
25,2,62,2,752.12,1504.24
25,3,61,4,683.30,2733.20
25,4,32,2,703.31,1406.62
25,5,59,5,861.48,4307.40
26,1,99,1,541.54,541.54
26,2,54,3,157.08,471.24
26,3,44,3,216.56,649.68
26,4,65,5,954.05,4770.25
26,5,35,5,167.59,837.95
27,1,69,4,842.46,3369.84
27,2,62,3,752.12,2256.36
27,3,45,2,398.65,797.30
27,4,43,2,876.99,1753.98
27,5,71,5,377.04,1885.20
27,6,98,4,670.63,2682.52
27,7,70,2,610.93,1221.86
27,8,49,4,431.29,1725.16
28,1,50,5,402.40,2012.00
28,2,85,5,964.54,4822.70
28,3,84,3,873.07,2619.21
28,4,20,1,129.20,129.20
28,5,64,4,162.37,649.48
28,6,5,1,91.50,91.50
28,7,17,5,101.23,506.15
29,1,53,1,757.00,757.00
29,2,84,4,873.07,3492.28
29,3,20,3,129.20,387.60
30,1,43,5,876.99,4384.95
30,2,87,4,714.38,2857.52
31,1,80,1,816.94,816.94
32,1,56,1,598.43,598.43
32,2,13,4,699.65,2798.60
33,1,42,1,913.57,913.57
34,1,19,2,731.08,1462.16
34,2,32,2,703.31,1406.62
34,3,68,1,871.17,871.17
34,4,53,5,757.00,3785.00
34,5,73,4,918.90,3675.60
34,6,88,5,995.17,4975.85
34,7,24,2,579.47,1158.94
35,1,60,3,681.88,2045.64
35,2,82,1,661.45,661.45
35,3,33,4,611.09,2444.36
35,4,59,3,861.48,2584.44
36,1,57,5,384.71,1923.55
36,2,45,3,398.65,1195.95
37,1,39,3,232.90,698.70
37,2,26,5,774.20,3871.00
37,3,50,3,402.40,1207.20
37,4,62,3,752.12,2256.36
37,5,14,1,281.48,281.48
37,6,31,4,213.46,853.84
37,7,49,3,431.29,1293.87
37,8,74,1,327.54,327.54
38,1,37,5,223.52,1117.60
38,2,100,3,578.33,1734.99
38,3,30,2,166.84,333.68
38,4,78,1,878.62,878.62
38,5,46,1,147.16,147.16
38,6,29,3,637.51,1912.53
38,7,82,4,661.45,2645.80
38,8,25,1,50.60,50.60
39,1,38,4,843.64,3374.56
39,2,42,2,913.57,1827.14
40,1,68,3,871.17,2613.51
40,2,65,3,954.05,2862.15
40,3,35,1,167.59,167.59
40,4,22,4,830.26,3321.04
40,5,33,1,611.09,611.09
40,6,62,2,752.12,1504.24
41,1,47,3,250.39,751.17
41,2,12,5,760.01,3800.05
41,3,51,4,997.34,3989.36
41,4,2,3,742.84,2228.52
41,5,34,1,536.47,536.47
41,6,69,2,842.46,1684.92
41,7,16,4,106.70,426.80
41,8,59,1,861.48,861.48
41,9,48,5,541.28,2706.40
42,1,29,2,637.51,1275.02
42,2,83,1,169.30,169.30
42,3,9,1,202.84,202.84
42,4,82,3,661.45,1984.35
42,5,60,4,681.88,2727.52
42,6,90,1,454.23,454.23
42,7,39,1,232.90,232.90
42,8,84,2,873.07,1746.14
42,9,53,5,757.00,3785.00
42,10,15,2,957.43,1914.86
43,1,54,4,157.08,628.32
43,2,76,3,879.33,2637.99
43,3,96,1,860.34,860.34
43,4,94,3,12.15,36.45
43,5,20,2,129.20,258.40
43,6,84,4,873.07,3492.28
43,7,13,4,699.65,2798.60
43,8,63,2,115.99,231.98
43,9,79,3,90.23,270.69
44,1,8,1,604.01,604.01
44,2,51,2,997.34,1994.68
44,3,36,5,273.60,1368.00
44,4,25,1,50.60,50.60
44,5,16,1,106.70,106.70
