line_id,product_id
1-1,75
1-2,4
2-1,10
2-2,76
2-3,89
2-4,81
3-1,45
4-1,83
4-2,44
4-3,2
4-4,54
4-5,63
4-6,14
4-7,56
4-8,47
4-9,82
5-1,42
5-2,32
5-3,12
5-4,36
5-5,58
6-1,24
6-2,63
6-3,28
6-4,46
6-5,34
6-6,44
7-1,63
7-2,72
7-3,98
7-4,31
7-5,89
7-6,61
7-7,83
8-1,48
8-2,61
8-3,71
8-4,68
8-5,45
8-6,55
8-7,96
8-8,43
8-9,46
8-10,90
9-1,95
9-2,62
9-3,36
9-4,93
10-1,47
10-2,23
10-3,39
10-4,2
11-1,82
11-2,97
11-3,63
12-1,44
12-2,24
12-3,7
12-4,33
12-5,62
12-6,15
12-7,9
12-8,52
13-1,98
13-2,54
13-3,78
13-4,77
13-5,80
13-6,29
13-7,100
13-8,67
13-9,49
14-1,34
14-2,85
14-3,11
14-4,21
15-1,89
15-2,77
15-3,61
15-4,38
15-5,5
15-6,30
15-7,37
15-8,91
16-1,35
16-2,19
16-3,10
17-1,16
17-2,60
17-3,89
17-4,39
17-5,90
17-6,52
17-7,35
17-8,65
18-1,30
18-2,87
19-1,98
20-1,24
20-2,75
20-3,56
20-4,82
20-5,63
21-1,53
21-2,89
21-3,64
21-4,37
21-5,85
21-6,52
22-1,1
22-2,85
22-3,70
22-4,60
22-5,53
22-6,7
22-7,25
22-8,67
22-9,47
23-1,81
24-1,71
24-2,2
24-3,53
24-4,12
24-5,29
25-1,54
25-2,62
25-3,61
25-4,32
25-5,59
26-1,99
26-2,54
26-3,44
26-4,65
26-5,35
27-1,69
27-2,62
27-3,45
27-4,43
27-5,71
27-6,98
27-7,70
27-8,49
28-1,50
28-2,85
28-3,84
28-4,20
28-5,64
28-6,5
28-7,17
29-1,53
29-2,84
29-3,20
30-1,43
30-2,87
31-1,80
32-1,56
32-2,13
33-1,42
34-1,19
34-2,32
34-3,68
34-4,53
34-5,73
34-6,88
34-7,24
35-1,60
35-2,82
35-3,33
35-4,59
36-1,57
36-2,45
37-1,39
37-2,26
37-3,50
37-4,62
37-5,14
37-6,31
37-7,49
37-8,74
38-1,37
38-2,100
38-3,30
38-4,78
38-5,46
38-6,29
38-7,82
38-8,25
39-1,38
39-2,42
40-1,68
40-2,65
40-3,35
40-4,22
40-5,33
40-6,62
41-1,47
41-2,12
41-3,51
41-4,2
41-5,34
41-6,69
41-7,16
41-8,59
41-9,48
42-1,29
42-2,83
42-3,9
42-4,82
42-5,60
42-6,90
42-7,39
42-8,84
42-9,53
42-10,15
43-1,54
43-2,76
43-3,96
43-4,94
43-5,20
43-6,84
43-7,13
43-8,63
43-9,79
44-1,8
44-2,51
44-3,36
44-4,25
44-5,16
44-6,59
45-1,9
45-2,98
45-3,71
45-4,27
46-1,36
47-1,15
47-2,85
47-3,4
48-1,3
48-2,23
48-3,34
48-4,7
48-5,17
48-6,95
49-1,14
49-2,58
49-3,65
49-4,29
49-5,79
49-6,6
49-7,94
49-8,85
49-9,67
49-10,39
50-1,19
50-2,9
50-3,17
50-4,36
50-5,80
50-6,82
50-7,75
50-8,71
50-9,92
50-10,42
51-1,58
51-2,30
51-3,53
51-4,44
51-5,59
51-6,52
51-7,54
52-1,11
52-2,12
53-1,8
53-2,76
53-3,72
53-4,43
53-5,86
53-6,16
53-7,53
53-8,46
53-9,97
54-1,14
54-2,45
54-3,72
54-4,48
55-1,79
55-2,87
55-3,83
55-4,72
55-5,4
55-6,78
55-7,85
55-8,89
55-9,35
55-10,24
56-1,28
56-2,49
56-3,54
56-4,59
56-5,44
56-6,21
56-7,48
56-8,40
56-9,93
57-1,85
57-2,55
57-3,63
57-4,78
57-5,57
57-6,54
57-7,35
57-8,28
58-1,51
58-2,77
58-3,8
58-4,1
59-1,16
59-2,1
59-3,64
59-4,96
59-5,56
59-6,23
60-1,95
60-2,6
60-3,56
60-4,3
60-5,59
60-6,10
60-7,41
61-1,80
61-2,59
61-3,89
62-1,76
62-2,52
62-3,68
62-4,11
62-5,51
62-6,40
62-7,96
63-1,45
63-2,94
63-3,83
63-4,19
63-5,31
63-6,14
64-1,60
64-2,97
64-3,73
64-4,98
64-5,75
64-6,58
64-7,88
64-8,83
65-1,8
65-2,46
65-3,65
65-4,10
65-5,40
65-6,60
65-7,58
65-8,5
65-9,48
65-10,37
66-1,78
66-2,61
66-3,65
66-4,20
66-5,8
66-6,58
67-1,67
67-2,79
67-3,21
67-4,47
67-5,48
67-6,37
67-7,50
67-8,53
67-9,100
68-1,43
68-2,11
68-3,75
69-1,91
69-2,11
69-3,40
69-4,72
69-5,49
69-6,83
69-7,43
69-8,17
69-9,86
69-10,90
70-1,18
70-2,20
70-3,10
70-4,38
71-1,77
71-2,49
71-3,20
72-1,53
73-1,37
73-2,97
73-3,96
73-4,58
73-5,30
73-6,69
73-7,31
73-8,40
73-9,61
73-10,25
74-1,33
74-2,7
74-3,83
75-1,37
75-2,11
76-1,12
76-2,29
76-3,58
76-4,45
76-5,4
76-6,54
76-7,7
77-1,92
77-2,84
78-1,90
78-2,18
78-3,98
78-4,91
78-5,61
78-6,58
78-7,79
78-8,1
79-1,39
79-2,16
79-3,7
79-4,31
80-1,3
80-2,81
80-3,66
80-4,74
80-5,31
80-6,92
80-7,19
80-8,38
80-9,55
81-1,65
81-2,71
81-3,3
81-4,50
81-5,61
81-6,6
81-7,82
81-8,48
81-9,33
82-1,83
82-2,23
82-3,100
82-4,88
82-5,60
82-6,90
83-1,6
83-2,41
83-3,40
83-4,66
84-1,100
84-2,7
84-3,84
84-4,43
84-5,35
84-6,16
85-1,67
85-2,35
85-3,11
85-4,94
85-5,55
85-6,56
86-1,58
86-2,78
86-3,92
86-4,55
86-5,22
87-1,10
88-1,19
89-1,9
89-2,31
89-3,100
90-1,87
90-2,58
90-3,48
91-1,51
91-2,41
91-3,84
91-4,36
91-5,32
91-6,15
92-1,28
92-2,79
92-3,37
92-4,89
92-5,63
92-6,26
92-7,16
92-8,18
93-1,21
93-2,92
93-3,91
93-4,90
93-5,82
94-1,4
94-2,47
94-3,71
94-4,74
94-5,48
94-6,60
94-7,17
94-8,79
95-1,41
95-2,83
95-3,10
96-1,24
96-2,99
96-3,17
96-4,56
96-5,65
96-6,8
96-7,16
96-8,67
96-9,20
96-10,39
97-1,81
97-2,39
97-3,79
98-1,20
98-2,22
98-3,85
98-4,80
98-5,93
98-6,78
98-7,44
98-8,73
98-9,6
98-10,4
99-1,62
99-2,32
99-3,88
99-4,52
99-5,39
100-1,44
100-2,78
100-3,19
100-4,41
101-1,14
101-2,41
101-3,31
101-4,60
101-5,16
101-6,35
101-7,58
101-8,32
101-9,19
102-1,98
102-2,21
102-3,64
102-4,66
103-1,59
103-2,31
103-3,28
103-4,75
103-5,46
103-6,7
103-7,37
103-8,64
103-9,77
104-1,52
105-1,71
105-2,37
105-3,10
105-4,50
105-5,65
105-6,58
106-1,72
106-2,47
106-3,97
106-4,19
106-5,26
106-6,78
107-1,59
107-2,20
107-3,78
107-4,66
107-5,18
107-6,42
107-7,79
107-8,41
107-9,21
108-1,3
108-2,48
108-3,43
108-4,87
108-5,15
108-6,54
108-7,75
108-8,40
109-1,81
109-2,93
109-3,80
109-4,100
109-5,49
109-6,19
109-7,88
109-8,32
109-9,5
110-1,100
110-2,79
110-3,61
110-4,95
110-5,94
110-6,8
110-7,91
110-8,18
110-9,67
111-1,46
111-2,87
111-3,99
111-4,93
111-5,88
111-6,83
111-7,89
111-8,34
111-9,79
112-1,62
112-2,45
112-3,72
112-4,93
112-5,36
112-6,37
113-1,37
114-1,28
114-2,26
114-3,69
114-4,35
114-5,72
114-6,90
114-7,18
114-8,14
115-1,92
115-2,61
115-3,13
115-4,88
115-5,99
115-6,18
116-1,37
116-2,83
116-3,8
116-4,99
116-5,12
116-6,84
117-1,64
117-2,24
117-3,96
117-4,38
117-5,5
