product_id,category_id
1,1
2,4
3,2
4,9
5,7
6,2
7,9
8,9
9,9
10,8
11,1
12,3
13,6
14,4
15,6
16,7
17,6
18,1
19,9
20,7
21,5
22,10
23,6
24,2
25,4
26,2
27,2
28,8
29,6
30,6
31,5
32,2
33,3
34,4
35,7
36,9
37,6
38,1
39,1
40,7
41,4
42,10
43,6
44,8
45,8
46,3
47,9
48,10
49,10
50,4
51,3
52,2
53,2
54,3
55,7
56,7
57,8
58,9
59,1
60,2
61,9
62,6
63,7
64,1
65,5
66,3
67,2
68,5
69,9
70,3
71,3
72,9
73,10
74,1
75,6
76,5
77,4
78,2
79,8
80,9
81,3
82,9
83,9
84,7
85,9
86,4
87,7
88,6
89,9
90,4
91,6
92,9
93,4
94,1
95,1
96,2
97,5
98,4
99,10
100,4
