sale_id,employee_id
1,11
2,18
3,25
4,2
5,23
6,20
7,10
8,11
9,6
10,11
11,14
12,18
13,1
14,10
15,20
16,9
17,14
18,2
19,22
20,19
21,10
22,20
23,3
24,6
25,22
26,1
27,8
28,17
29,3
30,19
31,23
32,7
33,2
34,12
35,9
36,9
37,13
38,25
39,7
40,21
41,16
42,14
43,13
44,22
45,21
46,21
47,14
48,21
49,22
50,15
51,9
52,3
53,7
54,16
55,23
56,5
57,15
58,2
59,12
60,2
61,15
62,10
63,9
64,10
65,12
66,9
67,18
68,22
69,8
70,8
71,22
72,16
73,16
74,21
75,25
76,9
77,15
78,15
79,15
80,23
81,25
82,22
83,1
84,11
85,18
86,12
87,13
88,9
89,3
90,25
91,21
92,12
93,14
94,6
95,4
96,21
97,14
98,21
99,14
100,18
101,22
102,14
103,20
104,13
105,9
106,13
107,17
108,14
109,8
110,16
111,14
112,16
113,11
114,13
115,20
116,11
117,1
118,8
119,18
120,4
121,14
122,6
123,2
124,21
125,13
126,17
127,18
128,2
129,15
130,10
131,20
132,21
133,3
134,19
135,24
136,13
137,23
138,16
139,12
140,24
141,11
142,25
143,20
144,13
145,18
146,3
147,2
148,23
149,23
150,2
151,10
152,23
153,15
154,14
155,2
156,2
157,3
158,25
159,10
160,2
161,13
162,25
163,2
164,23
165,17
166,24
167,11
168,15
169,2
170,19
171,6
172,15
173,10
174,18
175,7
176,6
177,11
178,7
179,3
180,6
181,22
182,6
183,17
184,20
185,19
186,8
187,15
188,5
189,21
190,16
191,12
192,16
193,25
194,15
195,3
196,23
197,20
198,6
199,4
200,24
201,4
202,9
203,20
204,25
205,12
206,22
207,20
208,15
209,2
210,21
211,6
212,6
213,11
214,12
215,3
216,13
217,10
218,6
219,19
220,16
221,19
222,23
223,13
224,22
225,11
226,25
227,18
228,1
229,15
230,13
231,16
232,3
233,12
234,20
235,5
236,13
237,13
238,22
239,22
240,3
241,21
242,3
243,19
244,21
245,17
246,2
247,7
248,8
249,6
250,10
251,16
252,24
253,7
254,7
255,17
256,21
257,11
258,12
259,21
260,10
261,1
262,18
263,6
264,24
265,15
266,24
267,5
268,18
269,15
270,20
271,1
272,7
273,17
274,19
275,16
276,4
277,18
278,25
279,19
280,5
281,10
282,22
283,11
284,18
285,22
286,14
287,23
288,7
289,4
290,20
291,9
292,3
293,25
294,9
295,4
296,24
297,2
298,16
299,1
300,18
301,4
302,9
303,2
304,6
305,6
306,18
307,7
308,18
309,5
310,7
311,16
312,17
313,4
314,7
315,2
316,9
317,21
318,16
319,21
320,20
321,1
322,20
323,22
324,19
325,1
326,5
327,2
328,24
329,4
330,14
331,4
332,15
333,17
334,16
335,6
336,25
337,17
338,25
339,23
340,21
341,16
342,21
343,12
344,3
345,7
346,8
347,16
348,20
349,12
350,17
351,18
352,19
353,12
354,25
355,7
356,1
357,16
358,15
359,1
360,9
361,4
362,1
363,14
364,17
365,1
366,25
367,20
368,14
369,5
370,2
371,19
372,18
373,7
374,12
375,22
376,1
377,15
378,22
379,20
380,9
381,18
382,3
383,11
384,18
385,9
386,20
387,8
388,21
389,14
390,3
391,14
392,25
393,24
394,8
395,6
396,17
397,24
398,17
399,4
400,17
401,16
402,20
403,11
404,18
405,14
406,11
407,17
408,6
409,21
410,22
411,24
412,17
413,4
414,23
415,12
416,8
417,23
418,25
419,15
420,15
421,17
422,25
423,10
424,3
425,19
426,6
427,9
428,3
429,24
430,21
431,16
432,8
433,23
434,17
435,10
436,18
437,2
438,2
439,4
440,1
441,12
442,9
443,8
444,9
445,5
446,4
447,25
448,12
449,5
450,1
451,13
452,7
453,5
454,8
455,11
456,3
457,11
458,3
459,9
460,20
461,9
462,25
463,4
464,3
465,25
466,6
467,24
468,16
469,25
470,16
471,8
472,12
473,18
474,19
475,23
476,4
477,7
478,23
479,24
480,4
481,5
482,10
483,23
484,5
485,24
486,9
487,4
488,16
489,13
490,4
491,21
492,17
493,12
494,18
495,14
496,13
497,22
498,3
499,14
500,11
501,22
502,21
503,21
504,21
505,24
506,1
507,3
508,6
509,4
510,11
511,13
512,22
513,20
514,8
515,3
516,7
517,16
518,1
519,10
520,14
521,16
522,21
523,19
524,2
525,7
526,18
527,7
528,12
529,2
530,19
531,8
532,10
533,17
534,5
535,13
536,24
537,3
538,8
539,4
540,4
541,19
542,13
543,20
544,5
545,12
546,7
547,23
548,1
549,3
550,21
551,12
552,11
553,16
554,7
555,16
556,11
557,18
558,19
559,25
560,18
561,15
562,10
563,18
564,18
565,3
566,6
567,25
568,3
569,13
570,14
571,5
572,24
573,10
574,16
575,24
576,17
577,21
578,2
579,12
580,9
581,2
582,10
583,23
584,1
585,18
586,16
587,21
588,18
589,8
590,24
591,17
592,24
593,17
594,5
595,18
596,10
597,6
598,17
599,16
600,25
601,25
602,23
603,8
604,10
605,15
606,21
607,4
608,9
609,19
610,14
611,13
612,20
613,8
614,3
615,19
616,5
617,2
618,8
619,25
620,10
621,13
622,25
623,3
624,25
625,3
626,5
627,2
628,23
629,22
630,7
631,22
632,8
633,2
634,9
635,16
636,12
637,6
638,25
639,14
640,6
641,7
642,15
643,7
644,16
645,16
646,18
647,24
648,10
649,15
650,8
651,23
652,13
653,21
654,11
655,7
656,18
657,25
658,3
659,20
660,1
661,12
662,16
663,16
664,17
665,25
666,11
667,13
668,6
669,6
670,20
671,17
672,22
673,6
674,17
675,16
676,6
677,1
678,4
679,16
680,11
681,23
682,4
683,25
684,25
685,20
686,5
687,1
688,15
689,3
690,1
691,17
692,7
693,22
694,15
695,18
696,13
697,1
698,16
699,12
700,17
701,6
702,16
703,8
704,13
705,9
706,13
707,13
708,1
709,2
710,1
711,21
712,24
713,17
714,1
715,11
716,12
717,5
718,22
719,24
720,8
721,1
722,20
723,24
724,9
725,18
726,17
727,20
728,16
729,18
730,3
731,16
732,5
733,4
734,17
735,9
736,25
737,23
738,15
739,8
740,8
741,22
742,5
743,20
744,10
745,18
746,6
747,10
748,14
749,7
750,16
751,13
752,6
753,9
754,3
755,15
756,2
757,6
758,4
759,2
760,2
761,13
762,3
763,7
764,23
765,16
766,1
767,5
768,1
769,25
770,7
771,8
772,17
773,5
774,6
775,15
776,21
777,9
778,24
779,15
780,9
781,1
782,11
783,21
784,12
785,17
786,23
787,23
788,10
789,15
790,6
791,20
792,18
793,13
794,13
795,4
796,19
797,5
798,23
799,18
800,10
801,3
802,7
803,9
804,25
805,16
806,4
807,20
808,17
809,5
810,4
811,14
812,16
813,20
814,14
815,2
816,25
817,20
818,13
819,5
820,18
821,5
822,11
823,21
824,12
825,5
826,8
827,3
828,20
829,20
830,1
831,1
832,5
833,2
834,2
835,4
836,17
837,4
838,21
839,12
840,12
841,21
842,10
843,11
844,15
845,12
846,23
847,22
848,7
849,15
850,2
851,19
852,10
853,18
854,18
855,14
856,15
857,24
858,14
859,11
860,3
861,5
862,13
863,10
864,23
865,20
866,2
867,24
868,25
869,24
870,24
871,5
872,17
873,16
874,4
875,5
876,2
877,9
878,15
879,1
880,15
881,18
882,22
883,25
884,15
885,12
886,3
887,8
888,5
889,1
890,19
891,14
892,10
893,7
894,23
895,24
896,15
897,12
898,20
899,1
900,9
901,18
902,18
903,24
904,15
905,10
906,16
907,15
908,14
909,14
910,6
911,1
912,17
913,13
914,8
915,18
916,21
917,5
918,19
919,5
920,5
921,24
922,12
923,16
924,16
925,23
926,13
927,23
928,4
929,19
930,13
931,14
932,15
933,23
934,10
935,1
936,10
937,10
938,4
939,8
940,25
941,20
942,3
943,20
944,19
945,15
946,11
947,7
948,1
949,13
950,16
951,4
952,12
953,24
954,4
955,6
956,11
957,8
958,11
959,4
960,25
961,3
962,20
963,24
964,23
965,15
966,2
967,4
968,23
969,21
970,17
971,9
972,16
973,12
974,8
975,25
976,4
977,25
978,21
979,22
980,5
981,12
982,19
983,2
984,4
985,7
986,10
987,19
988,3
989,10
990,8
991,6
992,17
993,24
994,19
995,6
996,23
997,6
998,5
999,10
1000,6
1001,19
1002,17
1003,16
1004,8
1005,9
1006,19
1007,11
1008,11
1009,23
1010,2
1011,6
1012,5
1013,14
1014,8
1015,17
1016,12
1017,19
1018,21
1019,20
1020,19
1021,25
1022,22
1023,25
1024,3
1025,5
1026,1
1027,20
1028,2
1029,16
1030,11
1031,17
1032,24
1033,5
1034,20
1035,11
1036,20
1037,1
1038,19
1039,19
1040,17
1041,16
1042,12
1043,24
1044,21
1045,21
1046,24
1047,8
1048,2
1049,12
1050,22
1051,13
1052,15
1053,7
1054,12
1055,8
1056,10
1057,18
1058,15
1059,12
1060,17
1061,20
1062,7
1063,24
1064,19
1065,4
1066,16
1067,24
1068,11
1069,9
1070,19
1071,15
1072,13
1073,25
1074,9
1075,23
1076,11
1077,15
1078,17
1079,2
1080,16
1081,4
1082,9
1083,4
1084,18
1085,10
1086,2
1087,11
1088,4
1089,15
1090,8
1091,17
1092,7
1093,21
1094,5
1095,5
1096,9
1097,11
1098,21
1099,1
1100,25
1101,16
1102,9
1103,8
1104,25
1105,16
1106,24
1107,5
1108,15
1109,11
1110,19
1111,18
1112,16
1113,2
1114,15
1115,13
1116,15
1117,19
1118,22
1119,11
1120,5
1121,4
1122,10
1123,5
1124,21
1125,7
1126,13
1127,2
1128,13
1129,18
1130,6
1131,18
1132,16
1133,11
1134,9
1135,18
1136,15
1137,24
1138,14
1139,5
1140,17
1141,15
1142,4
1143,20
1144,7
1145,10
1146,17
1147,5
1148,25
1149,8
1150,17
1151,19
1152,7
1153,17
1154,5
1155,16
1156,1
1157,5
1158,10
1159,18
1160,8
1161,8
1162,14
1163,7
1164,9
1165,9
1166,23
1167,20
1168,21
1169,10
1170,13
1171,20
1172,15
1173,22
1174,7
1175,13
1176,1
1177,6
1178,20
1179,3
1180,9
1181,16
1182,2
1183,23
1184,17
1185,23
1186,14
1187,12
1188,13
1189,22
1190,16
1191,11
1192,23
1193,6
1194,15
1195,20
1196,12
1197,7
1198,24
1199,6
1200,1
1201,23
1202,18
1203,19
1204,20
1205,17
1206,18
1207,12
1208,24
1209,17
1210,7
1211,5
1212,23
1213,4
1214,10
1215,15
1216,22
1217,12
1218,10
1219,13
1220,18
1221,3
1222,14
1223,19
1224,24
1225,5
1226,7
1227,15
1228,12
1229,3
1230,21
1231,18
1232,18
1233,8
1234,12
1235,4
1236,18
1237,6
1238,10
1239,12
1240,5
1241,13
1242,15
1243,19
1244,4
1245,25
1246,22
1247,23
1248,11
1249,8
1250,4
1251,7
1252,19
1253,7
1254,23
1255,18
1256,17
1257,1
1258,5
1259,2
1260,15
1261,4
1262,4
1263,4
1264,20
1265,14
1266,7
1267,10
1268,4
1269,6
1270,14
1271,8
1272,7
1273,16
1274,1
1275,22
1276,10
1277,10
1278,14
1279,15
1280,6
1281,5
1282,19
1283,1
1284,20
1285,20
1286,6
1287,6
1288,5
1289,16
1290,20
1291,14
1292,10
1293,23
1294,25
1295,1
1296,5
1297,16
1298,4
1299,12
1300,17
1301,5
1302,18
1303,8
1304,24
1305,13
1306,20
1307,17
1308,12
1309,8
1310,5
1311,11
1312,6
1313,19
1314,3
1315,17
1316,4
1317,5
1318,25
1319,5
1320,6
1321,2
1322,5
1323,20
1324,11
1325,9
1326,3
1327,25
1328,4
1329,24
1330,9
1331,22
1332,20
1333,7
1334,14
1335,6
1336,10
1337,21
1338,2
1339,18
1340,20
1341,16
1342,23
1343,5
1344,3
1345,10
1346,20
1347,25
1348,19
1349,18
1350,8
1351,12
1352,3
1353,19
1354,10
1355,14
1356,20
1357,18
1358,18
1359,6
1360,5
1361,21
1362,8
1363,7
1364,4
1365,10
1366,1
1367,7
1368,4
1369,15
1370,23
1371,17
1372,24
1373,22
1374,1
1375,12
1376,2
1377,1
1378,8
1379,1
1380,5
1381,11
1382,25
1383,6
1384,8
1385,7
1386,18
1387,22
1388,7
1389,17
1390,5
1391,7
1392,7
1393,9
1394,19
1395,6
1396,8
1397,5
1398,1
1399,22
1400,16
1401,19
1402,10
1403,13
1404,3
1405,20
1406,2
1407,13
1408,10
1409,1
1410,4
1411,20
1412,8
1413,8
1414,4
1415,22
1416,5
1417,23
1418,15
1419,4
1420,18
1421,18
1422,7
1423,1
1424,19
1425,14
1426,3
1427,5
1428,23
1429,19
1430,9
1431,13
1432,2
1433,10
1434,19
1435,5
1436,3
1437,12
1438,10
1439,22
1440,10
1441,19
1442,13
1443,3
1444,16
1445,20
1446,22
1447,7
1448,18
1449,20
1450,16
1451,2
1452,19
1453,20
1454,16
1455,21
1456,4
1457,2
1458,12
1459,13
1460,24
1461,7
1462,11
1463,20
1464,2
1465,22
1466,16
1467,1
1468,7
1469,4
