sale_id,line_id
1,1-1
1,1-2
2,2-1
2,2-2
2,2-3
2,2-4
3,3-1
4,4-1
4,4-2
4,4-3
4,4-4
4,4-5
4,4-6
4,4-7
4,4-8
4,4-9
5,5-1
5,5-2
5,5-3
5,5-4
5,5-5
6,6-1
6,6-2
6,6-3
6,6-4
6,6-5
6,6-6
7,7-1
7,7-2
7,7-3
7,7-4
7,7-5
7,7-6
7,7-7
8,8-1
8,8-2
8,8-3
8,8-4
8,8-5
8,8-6
8,8-7
8,8-8
8,8-9
8,8-10
9,9-1
9,9-2
9,9-3
9,9-4
10,10-1
10,10-2
10,10-3
10,10-4
11,11-1
11,11-2
11,11-3
12,12-1
12,12-2
12,12-3
12,12-4
12,12-5
12,12-6
12,12-7
12,12-8
13,13-1
13,13-2
13,13-3
13,13-4
13,13-5
13,13-6
13,13-7
13,13-8
13,13-9
14,14-1
14,14-2
14,14-3
14,14-4
15,15-1
15,15-2
15,15-3
15,15-4
15,15-5
15,15-6
15,15-7
15,15-8
16,16-1
16,16-2
16,16-3
17,17-1
17,17-2
17,17-3
17,17-4
17,17-5
17,17-6
17,17-7
17,17-8
18,18-1
18,18-2
19,19-1
20,20-1
20,20-2
20,20-3
20,20-4
20,20-5
21,21-1
21,21-2
21,21-3
21,21-4
21,21-5
21,21-6
22,22-1
22,22-2
22,22-3
22,22-4
22,22-5
22,22-6
22,22-7
22,22-8
22,22-9
23,23-1
24,24-1
24,24-2
24,24-3
24,24-4
24,24-5
25,25-1
25,25-2
25,25-3
25,25-4
25,25-5
26,26-1
26,26-2
26,26-3
26,26-4
26,26-5
27,27-1
27,27-2
27,27-3
27,27-4
27,27-5
27,27-6
27,27-7
27,27-8
28,28-1
28,28-2
28,28-3
28,28-4
28,28-5
28,28-6
28,28-7
29,29-1
29,29-2
29,29-3
30,30-1
30,30-2
31,31-1
32,32-1
32,32-2
33,33-1
34,34-1
34,34-2
34,34-3
34,34-4
34,34-5
34,34-6
34,34-7
35,35-1
35,35-2
35,35-3
35,35-4
36,36-1
36,36-2
37,37-1
37,37-2
37,37-3
37,37-4
37,37-5
37,37-6
37,37-7
37,37-8
38,38-1
38,38-2
38,38-3
38,38-4
38,38-5
38,38-6
38,38-7
38,38-8
39,39-1
39,39-2
40,40-1
40,40-2
40,40-3
40,40-4
40,40-5
40,40-6
41,41-1
41,41-2
41,41-3
41,41-4
41,41-5
41,41-6
41,41-7
41,41-8
41,41-9
42,42-1
42,42-2
42,42-3
42,42-4
42,42-5
42,42-6
42,42-7
42,42-8
42,42-9
42,42-10
43,43-1
43,43-2
43,43-3
43,43-4
43,43-5
43,43-6
43,43-7
43,43-8
43,43-9
44,44-1
44,44-2
44,44-3
44,44-4
44,44-5
44,44-6
45,45-1
45,45-2
45,45-3
45,45-4
46,46-1
47,47-1
47,47-2
47,47-3
48,48-1
48,48-2
48,48-3
48,48-4
48,48-5
48,48-6
49,49-1
49,49-2
49,49-3
49,49-4
49,49-5
49,49-6
49,49-7
49,49-8
49,49-9
49,49-10
50,50-1
50,50-2
50,50-3
50,50-4
50,50-5
50,50-6
50,50-7
50,50-8
50,50-9
50,50-10
51,51-1
51,51-2
51,51-3
51,51-4
51,51-5
51,51-6
51,51-7
52,52-1
52,52-2
53,53-1
53,53-2
53,53-3
53,53-4
53,53-5
53,53-6
53,53-7
53,53-8
53,53-9
54,54-1
54,54-2
54,54-3
54,54-4
55,55-1
55,55-2
55,55-3
55,55-4
55,55-5
55,55-6
55,55-7
55,55-8
55,55-9
55,55-10
56,56-1
56,56-2
56,56-3
56,56-4
56,56-5
56,56-6
56,56-7
56,56-8
56,56-9
57,57-1
57,57-2
57,57-3
57,57-4
57,57-5
57,57-6
57,57-7
57,57-8
58,58-1
58,58-2
58,58-3
58,58-4
59,59-1
59,59-2
59,59-3
59,59-4
59,59-5
59,59-6
60,60-1
60,60-2
60,60-3
60,60-4
60,60-5
60,60-6
60,60-7
61,61-1
61,61-2
61,61-3
62,62-1
62,62-2
62,62-3
62,62-4
62,62-5
62,62-6
62,62-7
63,63-1
63,63-2
63,63-3
63,63-4
63,63-5
63,63-6
64,64-1
64,64-2
64,64-3
64,64-4
64,64-5
64,64-6
64,64-7
64,64-8
65,65-1
65,65-2
65,65-3
65,65-4
65,65-5
65,65-6
65,65-7
65,65-8
65,65-9
65,65-10
66,66-1
66,66-2
66,66-3
66,66-4
66,66-5
66,66-6
67,67-1
67,67-2
67,67-3
67,67-4
67,67-5
67,67-6
67,67-7
67,67-8
67,67-9
68,68-1
68,68-2
68,68-3
69,69-1
69,69-2
69,69-3
69,69-4
69,69-5
69,69-6
69,69-7
69,69-8
69,69-9
69,69-10
70,70-1
70,70-2
70,70-3
70,70-4
71,71-1
71,71-2
71,71-3
72,72-1
73,73-1
73,73-2
73,73-3
73,73-4
73,73-5
73,73-6
73,73-7
73,73-8
73,73-9
73,73-10
74,74-1
74,74-2
74,74-3
75,75-1
75,75-2
76,76-1
76,76-2
76,76-3
76,76-4
76,76-5
76,76-6
76,76-7
77,77-1
77,77-2
78,78-1
78,78-2
78,78-3
78,78-4
78,78-5
78,78-6
78,78-7
78,78-8
79,79-1
79,79-2
79,79-3
79,79-4
80,80-1
80,80-2
80,80-3
80,80-4
80,80-5
80,80-6
80,80-7
80,80-8
80,80-9
81,81-1
81,81-2
81,81-3
81,81-4
81,81-5
81,81-6
81,81-7
81,81-8
81,81-9
82,82-1
82,82-2
82,82-3
82,82-4
82,82-5
82,82-6
83,83-1
83,83-2
83,83-3
83,83-4
84,84-1
84,84-2
84,84-3
84,84-4
84,84-5
84,84-6
85,85-1
85,85-2
85,85-3
85,85-4
85,85-5
85,85-6
86,86-1
86,86-2
86,86-3
86,86-4
86,86-5
87,87-1
88,88-1
89,89-1
89,89-2
89,89-3
90,90-1
90,90-2
90,90-3
91,91-1
91,91-2
91,91-3
91,91-4
91,91-5
91,91-6
92,92-1
92,92-2
92,92-3
92,92-4
92,92-5
92,92-6
92,92-7
92,92-8
93,93-1
93,93-2
93,93-3
93,93-4
93,93-5
94,94-1
94,94-2
94,94-3
94,94-4
94,94-5
94,94-6
94,94-7
94,94-8
95,95-1
95,95-2
95,95-3
96,96-1
96,96-2
96,96-3
96,96-4
96,96-5
96,96-6
96,96-7
96,96-8
96,96-9
96,96-10
97,97-1
97,97-2
97,97-3
98,98-1
98,98-2
98,98-3
98,98-4
98,98-5
98,98-6
98,98-7
98,98-8
98,98-9
98,98-10
99,99-1
99,99-2
99,99-3
99,99-4
99,99-5
100,100-1
100,100-2
100,100-3
100,100-4
101,101-1
101,101-2
101,101-3
101,101-4
101,101-5
101,101-6
101,101-7
101,101-8
101,101-9
102,102-1
102,102-2
102,102-3
102,102-4
103,103-1
103,103-2
103,103-3
103,103-4
103,103-5
103,103-6
103,103-7
103,103-8
103,103-9
104,104-1
105,105-1
105,105-2
105,105-3
105,105-4
105,105-5
105,105-6
106,106-1
106,106-2
106,106-3
106,106-4
106,106-5
106,106-6
107,107-1
107,107-2
107,107-3
107,107-4
107,107-5
107,107-6
107,107-7
107,107-8
107,107-9
108,108-1
108,108-2
108,108-3
108,108-4
108,108-5
108,108-6
108,108-7
108,108-8
109,109-1
109,109-2
109,109-3
109,109-4
109,109-5
109,109-6
109,109-7
109,109-8
109,109-9
110,110-1
110,110-2
110,110-3
110,110-4
110,110-5
110,110-6
110,110-7
110,110-8
110,110-9
111,111-1
111,111-2
111,111-3
111,111-4
111,111-5
111,111-6
111,111-7
111,111-8
111,111-9
112,112-1
112,112-2
112,112-3
112,112-4
112,112-5
112,112-6
113,113-1
114,114-1
114,114-2
114,114-3
114,114-4
114,114-5
114,114-6
114,114-7
114,114-8
115,115-1
115,115-2
115,115-3
115,115-4
115,115-5
115,115-6
116,116-1
116,116-2
116,116-3
116,116-4
116,116-5
116,116-6
117,117-1
117,117-2
117,117-3
117,117-4
117,117-5
117,117-6
117,117-7
118,118-1
118,118-2
118,118-3
118,118-4
118,118-5
118,118-6
118,118-7
118,118-8
118,118-9
119,119-1
119,119-2
119,119-3
119,119-4
119,119-5
119,119-6
119,119-7
119,119-8
119,119-9
120,120-1
120,120-2
120,120-3
120,120-4
120,120-5
121,121-1
121,121-2
122,122-1
122,122-2
122,122-3
122,122-4
122,122-5
122,122-6
122,122-7
122,122-8
123,123-1
123,123-2
123,123-3
123,123-4
123,123-5
123,123-6
123,123-7
123,123-8
123,123-9
123,123-10
124,124-1
124,124-2
124,124-3
124,124-4
124,124-5
124,124-6
124,124-7
125,125-1
125,125-2
126,126-1
126,126-2
126,126-3
127,127-1
127,127-2
128,128-1
128,128-2
128,128-3
129,129-1
129,129-2
129,129-3
129,129-4
129,129-5
129,129-6
129,129-7
129,129-8
130,130-1
130,130-2
130,130-3
130,130-4
131,131-1
131,131-2
131,131-3
131,131-4
131,131-5
131,131-6
131,131-7
131,131-8
132,132-1
132,132-2
132,132-3
132,132-4
133,133-1
133,133-2
133,133-3
133,133-4
133,133-5
133,133-6
134,134-1
134,134-2
134,134-3
134,134-4
135,135-1
135,135-2
135,135-3
136,136-1
136,136-2
137,137-1
137,137-2
137,137-3
137,137-4
137,137-5
137,137-6
137,137-7
137,137-8
137,137-9
137,137-10
138,138-1
138,138-2
138,138-3
138,138-4
139,139-1
139,139-2
139,139-3
139,139-4
139,139-5
139,139-6
139,139-7
139,139-8
139,139-9
140,140-1
140,140-2
140,140-3
140,140-4
140,140-5
140,140-6
140,140-7
141,141-1
141,141-2
141,141-3
142,142-1
143,143-1
143,143-2
143,143-3
144,144-1
145,145-1
146,146-1
147,147-1
147,147-2
147,147-3
147,147-4
147,147-5
147,147-6
147,147-7
147,147-8
147,147-9
148,148-1
148,148-2
148,148-3
148,148-4
149,149-1
149,149-2
149,149-3
149,149-4
149,149-5
149,149-6
149,149-7
149,149-8
150,150-1
150,150-2
151,151-1
151,151-2
151,151-3
151,151-4
151,151-5
151,151-6
152,152-1
152,152-2
152,152-3
152,152-4
152,152-5
152,152-6
153,153-1
153,153-2
153,153-3
153,153-4
153,153-5
153,153-6
153,153-7
153,153-8
153,153-9
153,153-10
154,154-1
154,154-2
154,154-3
154,154-4
155,155-1
155,155-2
156,156-1
156,156-2
156,156-3
157,157-1
158,158-1
158,158-2
158,158-3
158,158-4
158,158-5
158,158-6
158,158-7
158,158-8
158,158-9
158,158-10
159,159-1
159,159-2
159,159-3
159,159-4
159,159-5
159,159-6
159,159-7
160,160-1
160,160-2
160,160-3
160,160-4
160,160-5
160,160-6
160,160-7
161,161-1
161,161-2
161,161-3
161,161-4
161,161-5
162,162-1
162,162-2
162,162-3
162,162-4
163,163-1
163,163-2
163,163-3
163,163-4
163,163-5
163,163-6
163,163-7
164,164-1
164,164-2
164,164-3
164,164-4
164,164-5
164,164-6
164,164-7
164,164-8
164,164-9
165,165-1
165,165-2
166,166-1
166,166-2
166,166-3
166,166-4
166,166-5
166,166-6
166,166-7
166,166-8
166,166-9
166,166-10
167,167-1
167,167-2
167,167-3
167,167-4
167,167-5
168,168-1
169,169-1
169,169-2
169,169-3
170,170-1
170,170-2
170,170-3
170,170-4
170,170-5
170,170-6
170,170-7
170,170-8
171,171-1
171,171-2
171,171-3
171,171-4
171,171-5
172,172-1
172,172-2
172,172-3
172,172-4
172,172-5
172,172-6
172,172-7
172,172-8
173,173-1
173,173-2
173,173-3
173,173-4
173,173-5
173,173-6
174,174-1
174,174-2
174,174-3
175,175-1
175,175-2
175,175-3
176,176-1
176,176-2
176,176-3
176,176-4
176,176-5
176,176-6
176,176-7
177,177-1
178,178-1
178,178-2
178,178-3
178,178-4
178,178-5
178,178-6
178,178-7
178,178-8
179,179-1
179,179-2
179,179-3
179,179-4
180,180-1
180,180-2
180,180-3
180,180-4
180,180-5
180,180-6
180,180-7
180,180-8
180,180-9
180,180-10
181,181-1
181,181-2
182,182-1
182,182-2
182,182-3
182,182-4
183,183-1
183,183-2
183,183-3
183,183-4
183,183-5
183,183-6
183,183-7
184,184-1
184,184-2
184,184-3
184,184-4
184,184-5
184,184-6
185,185-1
185,185-2
185,185-3
185,185-4
185,185-5
185,185-6
186,186-1
186,186-2
186,186-3
187,187-1
187,187-2
187,187-3
188,188-1
189,189-1
189,189-2
189,189-3
189,189-4
190,190-1
190,190-2
191,191-1
191,191-2
191,191-3
191,191-4
191,191-5
192,192-1
192,192-2
192,192-3
192,192-4
192,192-5
192,192-6
193,193-1
193,193-2
193,193-3
193,193-4
193,193-5
193,193-6
193,193-7
194,194-1
194,194-2
194,194-3
194,194-4
195,195-1
195,195-2
195,195-3
195,195-4
196,196-1
196,196-2
196,196-3
196,196-4
196,196-5
196,196-6
196,196-7
197,197-1
197,197-2
197,197-3
197,197-4
197,197-5
197,197-6
197,197-7
197,197-8
197,197-9
198,198-1
198,198-2
198,198-3
198,198-4
198,198-5
198,198-6
198,198-7
198,198-8
198,198-9
199,199-1
199,199-2
199,199-3
199,199-4
199,199-5
200,200-1
200,200-2
200,200-3
200,200-4
200,200-5
201,201-1
201,201-2
201,201-3
201,201-4
201,201-5
202,202-1
202,202-2
202,202-3
202,202-4
202,202-5
202,202-6
203,203-1
203,203-2
203,203-3
203,203-4
203,203-5
203,203-6
204,204-1
204,204-2
204,204-3
204,204-4
204,204-5
204,204-6
205,205-1
205,205-2
206,206-1
206,206-2
206,206-3
206,206-4
206,206-5
207,207-1
208,208-1
209,209-1
209,209-2
209,209-3
209,209-4
210,210-1
210,210-2
210,210-3
210,210-4
210,210-5
210,210-6
210,210-7
211,211-1
211,211-2
211,211-3
211,211-4
211,211-5
212,212-1
212,212-2
212,212-3
212,212-4
212,212-5
212,212-6
212,212-7
212,212-8
212,212-9
212,212-10
213,213-1
213,213-2
213,213-3
214,214-1
214,214-2
214,214-3
215,215-1
215,215-2
215,215-3
216,216-1
216,216-2
217,217-1
217,217-2
217,217-3
217,217-4
217,217-5
217,217-6
217,217-7
217,217-8
218,218-1
218,218-2
218,218-3
218,218-4
218,218-5
219,219-1
220,220-1
220,220-2
220,220-3
220,220-4
221,221-1
221,221-2
221,221-3
221,221-4
221,221-5
221,221-6
222,222-1
222,222-2
222,222-3
222,222-4
222,222-5
222,222-6
223,223-1
223,223-2
223,223-3
224,224-1
224,224-2
224,224-3
224,224-4
224,224-5
224,224-6
224,224-7
224,224-8
224,224-9
224,224-10
225,225-1
225,225-2
225,225-3
226,226-1
226,226-2
226,226-3
226,226-4
226,226-5
226,226-6
227,227-1
227,227-2
227,227-3
227,227-4
227,227-5
227,227-6
228,228-1
228,228-2
228,228-3
228,228-4
228,228-5
228,228-6
228,228-7
228,228-8
228,228-9
228,228-10
229,229-1
229,229-2
229,229-3
229,229-4
229,229-5
229,229-6
229,229-7
229,229-8
230,230-1
230,230-2
230,230-3
230,230-4
230,230-5
230,230-6
230,230-7
230,230-8
230,230-9
231,231-1
231,231-2
231,231-3
232,232-1
232,232-2
232,232-3
232,232-4
232,232-5
232,232-6
232,232-7
233,233-1
233,233-2
233,233-3
233,233-4
234,234-1
234,234-2
235,235-1
235,235-2
235,235-3
235,235-4
236,236-1
236,236-2
237,237-1
237,237-2
237,237-3
238,238-1
239,239-1
239,239-2
239,239-3
239,239-4
239,239-5
239,239-6
239,239-7
240,240-1
240,240-2
240,240-3
240,240-4
240,240-5
240,240-6
240,240-7
240,240-8
240,240-9
241,241-1
241,241-2
241,241-3
241,241-4
241,241-5
242,242-1
242,242-2
242,242-3
242,242-4
242,242-5
242,242-6
242,242-7
242,242-8
242,242-9
242,242-10
243,243-1
244,244-1
244,244-2
244,244-3
244,244-4
244,244-5
244,244-6
244,244-7
244,244-8
244,244-9
244,244-10
245,245-1
245,245-2
245,245-3
245,245-4
245,245-5
245,245-6
246,246-1
246,246-2
246,246-3
246,246-4
246,246-5
246,246-6
246,246-7
246,246-8
246,246-9
247,247-1
247,247-2
247,247-3
247,247-4
247,247-5
248,248-1
248,248-2
248,248-3
248,248-4
248,248-5
248,248-6
248,248-7
248,248-8
249,249-1
249,249-2
249,249-3
249,249-4
249,249-5
250,250-1
250,250-2
